"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2025_I","6664196-psicologia-tipo-b","En visita domiciliaria, se verifica a un adolescente de 12 años, en cuya historia clínica se observan atenciones desde recién 
nacido, controles CRED, inmunizaciones, atenciones por odontología y psicología y ahora empezará su primer control de 
adolescente. Dentro del Modelo de Cuidado Integral de Salud. ¿A qué enfoque pertenece dicho caso?","Género","Derechos","Curso de vida","Interculturalidad","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?","El surgimiento de nuevas enfermedades","Las crisis psicosociales","La aparición de enfermedades epidémicas","El aumento en la incidencia de enfermedades","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","La identificación de factores de riesgo: edad, sexo, antecedentes familiares de diabetes, tabaquismo, dislipidemia, 
sedentarismo, entre otros; facilitará la …… y control de las enfermedades no transmisibles.","prevención","disminución","verificación","recuperación","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?","Principios institucionales","Cultura organizacional","Clima organizacional","Valores institucionales","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Gestante de 26 semanas, se está realizando la estimulación prenatal, técnicas de relajación y atención con su pareja para 
asegurar en el feto un ambiente uterino de desarrollo favorable. Estas actividades con la gestante aseguran un embarazo 
saludable que permita controlar y manejar las exposiciones que sufra el feto para que éste alcance un adecuado desarrollo 
psicomotor, ...... y social en el curso de vida.","conductual","emocional","intelectual","cognitivo","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?","Área de internamiento","Zona de selección de residuos sólidos","Depósito y lavado de carros","Zona de almacenamiento de residuos contaminados","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...","de tipo ambiental.","necesaria y suficiente.","necesaria pero no suficiente.","no necesaria pero suficiente.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?","Curso de vida","Cuidado integral","Vías de cuidados","Determinante social","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:","Responsabilidad","Ética","Justicia","Beneficencia","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Gestante de 26 semanas, durante el seguimiento de su estado emocional se encuentra estable con su pareja, asiste a 
control, psicoprofilaxis y estimulación prenatal; informa que tiene un lactario en su centro laboral, el mismo que es parte del 
cuidado...","familiar.","individual.","comunitario.","particular.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?","Individualidad","Seguridad","Respeto","Confidencialidad","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?","Cuando se reporta el VEA de la semana","Hasta las 48 horas","Al alta de los pacientes","De manera inmediata","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las 
características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: 
gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la 
salud intercultural y la …","inclusión social.","atención intercultural.","participación ciudadana.","interculturalidad en salud.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?","Discrepas con su decisión porque no es correcto","Solicitar presidente de la comunidad que intervenga","Llegas a un acuerdo en la terapia del niño, respetando sus creencias","Constatar con la policía y autoridad comunal","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y 
el valor que corresponde para caracterizar el riesgo?","Tasa de incidencia, 50%","Razón de prevalencia, 50%","Tasa de prevalencia, 500 x 1000 hab","Tasa de ataque, 50%","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Gestante de 25 años, víctima de violencia, derivada del CEM al centro de salud, espera una hora para su atención, la 
enfermera la entrevista sobre la violencia del cual fue víctima, la deriva con la obstetra, quien también la entrevista sobre los 
hechos de violencia, para luego enviarla al consultorio de psicología. Esta secuencia de acciones genera...","erradicación.","recuperación.","revictimización.","protección.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?","Respeto y atención diferenciada","Veracidad, lealtad, eficiencia","Respeto, probidad y eficiencia","Silencio, manejo de la información","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?","Valor predictivo positivo","Sensibilidad ineficiente","Falso positivo","Falso negativo","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Se atiende en un mes a 10 niños menores de 5 años, con desnutrición crónica, altas horas de exposición a los medios 
tecnológicos, nula actividad física y conducta disruptiva. Se realiza un programa de intervención multidisciplinario en el que 
se considera el control de niño sano, alimentación saludable, actividad física y desarrollo psicoemocional en este grupo. ¿Con 
qué criterio de prioridad se interviene a este grupo?","Riesgo cardiovascular futuro","Lucha contra la pobreza","Políticas a nivel mundial y nacional","Prevención de adicciones","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Ante la presencia de un caso probable de Tos Ferina. ¿Cuáles son las medidas a implementar?","Jornada de vacunación, quimioprofilaxis, búsqueda  de contactos indirectos","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Censo de contactos, barrido vacunal, investigación del caso índice","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Todo establecimiento de salud que atiende a gestantes o madres con VIH, sífilis, hepatitis B u otras ITS, debe promover el 
respeto con enfoque de interculturalidad y género, a través de programas de promoción y prevención; de esta manera se 
estará eliminando el …… y la …… asociada a estas infecciones.","abuso / exclusión","estigma / discriminación","maltrato / inclusión","despotismo / separación","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?","3","1","4","2","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Dentro del paquete de atención integral en el grupo poblacional adolescente, incluye: consejería en el fortalecimiento de la 
autoestima, habilidades sociales, habilidades para la vida, prevención del alcoholismo y uso de tabaco; así como...","tareas educativas.","actividad física.","prevención del embarazo.","relaciones interpersonales.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Paciente varón de 18 años con diagnóstico de depresión leve [F32.0], acude a psicología para tratamiento inicial, según la 
guía de práctica clínica para tratamiento en depresión leve. ¿Qué procedimiento se realiza?","Realizar dos sesiones","Derivación a psiquiatría","Consejería y psicoeducación","Desensibilización sistemática","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?","Revisar literatura científica sobre el tema","Elaborar su pregunta de investigación","Definir sus instrumentos de medición","Elegir los objetivos de estudio","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?","Estudios de posgrado","Currículo vitae documentado","Título profesional, colegiatura","Diplomados","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes 
aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.","al amanecer y al atardecer","solo en época de lluvias","a medio día y sin lluvia","al atardecer y durante la noche","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?","Secundaria","Primaria","Cuaternaria","Terciaria","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.","atenuar o eliminar","restringir o acortar","controlar o mantener","diferir o mitigar","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?","Confirmado sin signos de alarma","Probable con signos de alarma","Grave","Hemorrágico con signos de alarma","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?","Consejería","Consulta","Queja","Sugerencia","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Al hacer el diagnóstico situacional de la población o institución educativa, el nivel ...... es una determinante social de la salud 
que influye en la calidad de vida de las personas y el desarrollo económico y social del país.","etiológico","educativo","intercultural","epidemiológico","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Sustancia química que al introducirse al organismo por vía oral, inhalación o entrar en contacto con la piel, produce vómitos, 
diarrea, dolor de cabeza, náuseas, dolor ocular y en casos crónicos trastorno del sistema nervioso central, hinchazón de las 
encías, pérdida de fijación de los dientes. ¿Cuál es el agente causal?","Litio","Benceno","Zinc","Mercurio","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Los 6 componentes para el cuidado integral en víctimas de violencia, según el esquema de la Norma Técnica de Salud N° 
164 MINSA/2020/DGIESP son: acogida, valoración, intervención, seguimiento, acceso y...","seguridad.","atención.","referencia.","notificación.","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.","desarrollos institucionales","estrategias institucionales","organizaciones institucionales","acciones institucionales","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?","Cultura","Población indígena","Salud pública","Interculturalidad en salud","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...","alianzas estratégicas.","coordinaciones intersectoriales.","capacidades de gestión.","decisiones multisectoriales.","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?","Ro > 0.5","Ro > 1","Ro = 0","Ro < 1","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...","incluye los procedimientos del proceso de la práctica «centinela».","usan datos específicos de información adicional.","basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.","usa mediciones sistemáticas.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:","Evaluación","Desarrollo de políticas","Acceso","Asignación de recursos","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:","Uso irracional de medicamentos","Uso adecuado de medicamentos de marca","Petitorio de los mismos medicamentos","Uso de medicamentos genéricos","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?","Medidas de bioseguridad e identificar las casas de infectados","Control de roedores","Ordenamiento ambiental","Medidas de control químico de pulgas","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","El centro de salud ha enviado a un equipo multidisciplinario a evaluar las condiciones psicosociales y de salubridad de la 
comunidad como proceso de asistencia sanitaria. Esta atención es considerada prioridad en ...","la reinserción de la familia.","la responsabilidad social.","la atención primaria de salud.","el cuidado integral.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?","Plan de acción","Clima organizacional","Recursos humanos","Proyecto de mejora","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","La ley 29719 promueve la convivencia sin violencia en las Instituciones educativas, que establece los mecanismos para ……, 
prevenir, evitar, sancionar y erradicar la ……, el hostigamiento, la intimidación y cualquier acto considerado como acoso entre 
los alumnos.","diagnosticar / violencia","prevenir / crisis","pronosticar / violación","observar / crisis","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Varón de 23 años, con sífilis confirmada, se empieza a trabajar en: evitar la promiscuidad sexual, educación sexual con 
métodos de anticoncepción, fortalecimiento de redes de apoyo, mejoramiento de clima familiar. Estos son factores de…","protección.","riesgo.","apego.","salud.","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?","Descriptivo","Cuasi experimental","Cohortes","Analítico","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Niño de 2 años, acompañado de su madre, recibe atención transeúnte en el servicio de CRED, es derivado al servicio de 
psicología por tener: alteraciones en el desarrollo del lenguaje, le molestan los ruidos comunes, problemas para socializar con 
sus pares, aleteo, camina en puntas, entre otros. Al aplicar el M-CHAT-R, obtiene un puntaje de 10. ¿Cuál es su diagnóstico 
presuntivo y procedimiento a seguir?","Trastorno de déficit de atención y tratamiento","Trastorno del espectro autista y referencia","Retraso mental y seguimiento","Anhedonia y referencia","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?","Consentimiento informado","Acceso a la información","Recuperación","Acceso a servicios de salud","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?","Acceso equitativo a servicios de salud integrales y de calidad","Financiamiento de la salud eficiente y equitativo","Asegurar el acceso y el uso racional de medicamentos","Desarrollo de recursos humanos para la salud","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?","I-1","I-3","I-2","I-4","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?","Dependientes del sistema de monitoreo","Áreas con poca variabilidad en temperatura","Con exactitud de aproximadamente 0.3°C","Deben estar calibrados","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Cuál es procedimiento más importante y simple que se realiza antes y después de la atención a cada paciente, para prevenir 
infecciones en los establecimientos de salud?","Lentes de protección","Uso de guantes","Uso de mascarilla","Lavado de manos","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?","Más de 5","Más de 15","Más de 1","Más de 10","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?","Notificarlo al nivel inmediato superior","Informar a los familiares","Mejorar el proceso de atención sanitaria en EESS","Medidas de mejora en el EESS","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Qué se debe realizar inicialmente para la contención del trauma en enfermedades crónicas?","Técnica de relajación progresiva","Registro de pensamiento","Terapia familiar","Test psicológico","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?","Promotores de salud y responsable de promoción de la salud","Coordinadores de red y responsable de epidemiología","El responsable de epidemiologia y jefe de establecimiento","Todo el personal de salud y autoridades locales","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:","Amenazas","Debilidades","Negatividad","Oportunidades","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:","Amenazas","Fortalezas","Oportunidades","Estrategias","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?","Estructural","Comercial","Económico","Intermedio","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:","Deontología","Comisión de ética","Responsabilidad","Moral","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.","intervención","análisis","soporte","riesgo","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Mujer de 39 años, durante la entrevista en el proceso de sectorización; informa tener pareja estable actualmente.  Antecedente 
de haber tenido 5 parejas; desde el inicio de la actividad sexual no ha recibido atención profesional, tampoco se 
hizo Papanicolaou. Ante ello se le invita a una campaña de despistaje de VPH, a través de pruebas moleculares. ¿Qué tipo 
de campaña es?","Promoción","Tratamiento","Prevención","Pronóstico","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar 
una referencia a otro establecimiento de salud. ¿Qué debe evaluar?","Cartera de servicios","Organigrama","Flujograma","Categorización","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","En el servicio de psicología, al trabajar la técnica del ABC de Ellis con una mujer de 40 años, quien refiere golpear a su esposo 
cada vez que él usa su celular, pensando que “él puede estar viendo a otras mujeres” o “él puede estar hablando con otras 
mujeres”, puesto que anteriormente le había descubierto que estaba ""en coqueteos"" con otra mujer. ¿En qué parte del 
esquema de la técnica se encuentran dichos pensamientos?","A","B","D","C","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?","Asentimiento informado","Compromiso paterno","Consentimiento informado","Carta de investigación","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?","Deserción","Retiro voluntario","Curado","Mejorado","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?","Controlado para infecciones intrahospitalarias","Específico para hepatitis A","Exclusivo para dolor oncológico","Para métodos de planificación familiar","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?","Básicos","Comunes","Esenciales","Genéricos","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el 
…… y autorizadas en el rotulado del producto, pudiendo ser de congelación, temperatura de refrigeración, temperatura 
ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”","fabricante / operativo","jefe / establecido","farmacéutico / rutinario","director / organizativo","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Varón de 30 años, es diagnosticado con VIH en el establecimiento de salud I-3; al recibir su tratamiento antiretroviral, el 
personal de salud lo identifica triste y preocupado. ¿Qué factor de riesgo que afecta la adherencia al tratamiento se 
debe identificar?","Consumo de alcohol y otras sustancias","Múltiples parejas sexuales","Malnutrición","Vacunas incompletas","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?","Matriz de consistencia","Revisión de Turnitin","Matriz de operacionalización","Lista de verificación","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.","Teleinterconsulta","Teleorientación","Telemonitoreo","Teleconsulta","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","En el centro de salud, el serumista, atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del 
cepillado e hilo dental. ¿Qué desea implementar en la persona?","Autocuidado","Cambio de dieta","Motivación","Destreza","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Varón de 35 años, durante el censo anual del establecimiento de salud, en la entrevista, empieza a toser, llegando a escupir 
flema; refiere que esa tos la tiene hace más de dos semanas. Negó haber ido al médico para tratar el caso. ¿A qué 
corresponde este caso?","Sintomático respiratorio","Asma bronquial","Fibrosis pulmonar","Caso postcovid","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Usted desea motivar a su personal de salud para realizar una investigación científica sobe la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...","mejorar la gestión de la salud.","generar conocimiento científico útil.","captar inversiones en salud.","consolidar el trabajo en equipo.","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...","degenerativas / infecciosas.","crónicas / infecciosas.","infecciosas / prevalentes.","infecciosas / crónicas.","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?","Rango","Moda","Mediana","Media","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Una familia en la cual, la enfermedad crónica de la abuela ha generado falta de atención de la madre a sus hijos por dedicarse 
a su propia madre, niños con problemas de conducta e inestabilidad en la relación con la pareja. Las acciones que 
están orientadas a la intervención a nivel personal, de pareja y familia para generar cambios de comportamiento y así 
adaptarse a las diferentes situaciones, promoviendo hábitos y conductas saludables. ¿A qué corresponden?","A la cartera de servicios","Al curso de vida","A la atención de la salud","Al cuidado integral de la salud","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.","virulencia / frecuencia","casos antiguos / casos nuevos","proporción / frecuencia","velocidad / magnitud","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, nauseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.","auditoría interna","auditoría externa","control interno","farmacovigilancia","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Son funciones del psicólogo en las instituciones educativas: integrar el comité de gestión de bienestar, realizar acciones de 
prevención y promoción para fortalecer la convivencia escolar y la salud mental de los estudiantes; además de:","Fortalecer las acciones dirigidas a las familias, en el marco del plan de TOECE","Dirigir las reuniones del personal educativo","Brindar tratamiento a los trastornos mental identificados","Evaluar la psicopatología del personal administrativo","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?","La participación comunitaria y escuelas saludables","La actitud política y el esfuerzo de la administración local","El abordaje territorial, espacios participativos y la familia como base","Los cambios en la realidad económico-social y ordenanzas municipales","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","En la atención psicológica se recibe a un niño de 9 años con trastorno por déficit de atención con hiperactividad (TDAH). Para 
hacer un tratamiento y control efectivo, es necesario clasificar su condición dentro de los trastornos del...","aprendizaje.","comportamiento.","neurodesarrollo.","crecimiento.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.","CENARES","CENSOPAS","DIGEMID","DIGESA","C"
